"","Base salary","Net worth","Last elected","Next election","Associate","Bachelor's","Service / branch","Years of service","Religion","Profession"
"185",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"186","$174,000","(2012) $348,003","November 6, 2018","November 3, 2020",NA,"California State University, Dominguez Hills",NA,NA,"Christian","Physician Assistant, Instructor, Health Non-Profit"
"187",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Christian: Nondenominational","Film producer"
"188",NA,NA,NA,NA,NA,NA,NA,NA,"Roman Catholic",NA
"189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"191","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,NA
"192",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"193","$174,000","(2012) $343,005","November 6, 2018","November 3, 2020",NA,"California State University, Los Angeles, 1965",NA,NA,"Christian: Catholic",NA
"194",NA,NA,NA,NA,NA,"California State University, Los Angeles",NA,NA,"Catholic",NA
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","$174,000","(2012) $158,501","November 6, 2018","November 3, 2020",NA,"University of California, Riverside",NA,NA,"Christian: Methodist","Teacher"
"200",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"201","$174,000","(2012) $4,075,003","November 6, 2018","November 3, 2020","Chaffey College","San Diego State University",NA,NA,"Christian: Protestant","Restaurant Manager, Business Owner"
"202",NA,NA,NA,NA,NA,"Middle Tennessee State University, 1986",NA,NA,"Christian","Marketing Consultant"
"203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","$174,000","(2012) $964,007","November 6, 2018","November 3, 2020",NA,"California State University, Los Angeles, 1970",NA,NA,"Christian",NA
"205",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"206",NA,NA,NA,NA,NA,"ITT-Technical Institute",NA,NA,NA,NA
"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"Yale University",NA,NA,NA,"Professor"
"212",NA,NA,NA,"November 3, 2020","Saddleback College, 2009","Arizona State University","Marine Corps",NA,NA,"Mayor of Mission Viejo"
"213","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"California State University, Fullerton",NA,NA,NA,"Business"
"214",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Christian","U.S. Postal Service"
"215","$174,000","(2012) $1,657,028","November 6, 2018","November 3, 2020",NA,"Hobart College",NA,NA,"Jewish","Professor"
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,"November 4, 2014","November 3, 2020",NA,NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA,"Christian",NA
"221","$174,000",NA,"November 6, 2018","November 3, 2020",NA,NA,NA,NA,NA,NA
"222",NA,NA,"June 5, 2018","November 3, 2020",NA,NA,NA,NA,NA,NA
"223","$174,000",NA,"November 6, 2018","November 3, 2020",NA,"Stanford University",NA,NA,NA,NA
"224",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
