"","Base salary","Net worth","Last elected","Next election","Associate","Bachelor's","Service / branch","Years of service","Religion","Profession"
"2079",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2080",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2081","$88.66/day",NA,"November 8, 2016","August 4, 2020",NA,"University of Kansas, Lawrence, 1980",NA,NA,NA,NA
"2082",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"2083",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"2084",NA,NA,NA,"August 4, 2020",NA,"Wichita State University, 1978",NA,NA,NA,NA
"2085","$86,003",NA,NA,"August 4, 2020",NA,"Harvard College, 1988",NA,NA,"Anglican",NA
"2086",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"2087","$174,000",NA,"November 6, 2018","August 4, 2020",NA,NA,NA,NA,NA,NA
"2088",NA,NA,NA,"August 4, 2020",NA,"Southern Nazarene University, 2007",NA,NA,"Agnostic",NA
"2089",NA,NA,NA,NA,NA,"University of Missouri",NA,NA,NA,"Math tutor"
"2090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2092",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2093","$193,400","$22,841,026","November 4, 2014","June 23, 2020",NA,"University of Louisville",NA,NA,"Christian: Baptist","Attorney"
"2094",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2095",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2096",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,"Christian",NA
"2097",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2098",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2099",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2100","$188.22/day",NA,NA,"June 23, 2020",NA,"University of the Cumberlands, 1974",NA,NA,"Christian","Business"
"2101",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2102",NA,NA,"November 6, 2018","June 23, 2020",NA,NA,NA,NA,NA,NA
"2103",NA,NA,NA,"June 23, 2020",NA,"Rutgers University","United States Marine Corps",NA,NA,NA
"2104",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2105",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2106",NA,NA,NA,"June 23, 2020",NA,"United States Naval Academy","United States Marine Corps","1997 - 2017",NA,"Military"
"2107",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2108",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2109",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,"Christian Universal Spiritual ",NA
"2110",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,NA,NA
"2111",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2112",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2113",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2114","$174,000","(2012) $1,592,030","December 6, 2014","November 3, 2020",NA,"Louisiana State University",NA,NA,"Christian","Doctor"
"2115",NA,NA,NA,"November 3, 2020",NA,"Western International University",NA,NA,"Christian","Founder, Better Boys Initiative, Inc."
"2116",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2117",NA,NA,NA,"November 3, 2020",NA,"California State University, Los Angeles, 2008",NA,NA,"Christian","Public defender"
"2118","$174,000","(2012) $1,552,012.50","November 4, 2014","September 1, 2020",NA,"Boston College","United States Army Reserve","1968 - 1973",NA,"Attorney"
"2119",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"2120","$174,000","(2012) $31,964,615","November 6, 2018","September 1, 2020",NA,"Stanford University",NA,NA,"Christian: Catholic","Attorney"
"2121",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"2122",NA,NA,NA,"September 1, 2020",NA,NA,NA,NA,NA,NA
"2123",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2124",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2125","$174,000","(2012) $2,874,078","November 4, 2014","July 14, 2020",NA,"St. Lawrence University",NA,NA,"Christian: Catholic",NA
"2126","14,271/year (first regular session)   $10,158/year (second regular session)",NA,"November 6, 2018","July 14, 2020",NA,"George Washington University",NA,NA,NA,"Advertising Account Executive"
"2127",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,NA,NA
"2128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2129",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,NA,NA
"2130",NA,NA,NA,"November 3, 2020",NA,"Bowdoin College, 1977",NA,NA,"Unaffiliated","Teacher, Business owner"
"2131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2132",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2134","$174,000","(2012) $2,880,081.50","November 4, 2014","August 4, 2020",NA,"Alma College","United States Navy Reserve","1993 - 2005",NA,"Investment Banker, Professor"
"2135",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"2136",NA,NA,NA,"August 4, 2020",NA,NA,NA,NA,NA,NA
"2137",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2138",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2139","$174,000",NA,"November 6, 2018","August 11, 2020",NA,"Stanford University",NA,NA,NA,"Chief of Staff To Gov. Dayton"
"2140",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"2141",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"2142",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"2143",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"2144",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"2145","$174,000/year",NA,NA,"August 11, 2020",NA,"University of Iowa",NA,NA,NA,NA
"2146",NA,NA,NA,"August 11, 2020",NA,NA,NA,NA,NA,NA
"2147",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2148","$174,000",NA,"November 27, 2018","November 3, 2020",NA,NA,NA,NA,"Christian: Baptist","Congressional Affairs Consultant"
"2149",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2150",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2151","$174,000","(2012) $24,400,006","November 4, 2014","June 2, 2020",NA,"Montana State University",NA,NA,"Christian: Presbyterian","Business"
"2152",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"2153",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"2154","$111,569",NA,"November 8, 2016","June 2, 2020",NA,"Claremont McKenna College",NA,NA,NA,"Attorney"
"2155",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"2156",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"2157",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"2158","$174,000",NA,"November 4, 2014","November 3, 2020",NA,"University of Maryland",NA,NA,"Christian: Catholic","Management consultant"
"2159",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2160",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Christian: Baptist",NA
"2161",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2162",NA,NA,NA,"November 3, 2020",NA,NA,"U.S. Navy",NA,"Atheist",NA
"2163","$174,000",NA,"November 4, 2014","November 3, 2020",NA,"Harvard",NA,NA,"Christian: Lutheran","President of Midland University"
"2164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2165",NA,NA,NA,"November 3, 2020",NA,"University of Nebraska, Omaha",NA,NA,"Catholic","Small business owner, property investor"
"2166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2170",NA,NA,NA,NA,NA,"University of Nebraska, Kearney, 1994",NA,NA,NA,NA
"2171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2172",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2173","$174,000","(2012) $3,457,871",NA,"September 8, 2020",NA,"Shippensburg University of Pennsylvania",NA,NA,"Non-denominational Protestant","Teacher"
"2174",NA,NA,NA,"September 8, 2020",NA,NA,NA,NA,NA,NA
"2175",NA,NA,NA,"September 8, 2020",NA,NA,NA,NA,NA,NA
"2176",NA,NA,NA,"September 8, 2020",NA,NA,NA,NA,NA,NA
"2177",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Attorney"
"2178",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2179","$174,000",NA,"November 4, 2014","July 7, 2020",NA,NA,NA,NA,NA,NA
"2180",NA,NA,NA,"July 7, 2020",NA,NA,NA,NA,NA,NA
"2181",NA,NA,NA,"July 7, 2020",NA,NA,NA,NA,NA,NA
"2182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2183",NA,NA,NA,"July 7, 2020",NA,NA,NA,NA,NA,NA
"2184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2185",NA,NA,NA,"July 7, 2020",NA,NA,NA,NA,NA,"Attorney"
"2186",NA,NA,NA,"July 7, 2020",NA,NA,NA,NA,NA,NA
"2187",NA,NA,NA,"July 7, 2020",NA,"New Jersey Institute of Technology",NA,NA,NA,"Engineer"
"2188",NA,NA,NA,"November 3, 2020",NA,"Wesleyan University, 1978",NA,NA,"Jewish","Community activist"
"2189",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2190",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2191",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"2192",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"2193",NA,NA,NA,"June 2, 2020",NA,"The University of New Mexico",NA,NA,NA,NA
"2194",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"2195",NA,NA,NA,"June 2, 2020",NA,NA,NA,NA,NA,NA
"2196","$174,000","(2012) $7,522,523","November 4, 2014","June 30, 2020",NA,"University of Tulsa, 1973","United States Army","1957 - 1958","Christian: Presbyterian",NA
"2197",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,NA
"2198",NA,NA,NA,NA,NA,"University of Central Oklahoma",NA,NA,NA,"Professor"
"2199",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,NA
"2200",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,NA
"2201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2202",NA,NA,NA,"June 30, 2020",NA,NA,NA,NA,NA,NA
"2203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2205",NA,NA,NA,NA,NA,"University of North Texas, 1972",NA,NA,NA,NA
"2206",NA,NA,NA,"November 3, 2020",NA,"Texas Tech University, 2003",NA,NA,"Christian: Episcopalian","Assistant professor"
"2207","$174,000","(2012) $1,275,510","November 4, 2014","May 19, 2020",NA,"Stanford University, 1979",NA,NA,"Christian",NA
"2208",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"2209",NA,NA,NA,"May 19, 2020",NA,"Southern Illinois University","U.S. Navy","1985 - 1996",NA,NA
"2210",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"2211",NA,NA,NA,"May 19, 2020",NA,NA,NA,NA,NA,NA
"2212",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2213","$174,000","(2012) $608,523","November 4, 2014","September 8, 2020",NA,"West Point, 1971","Army","1967 - 1979","Christian: Catholic",NA
"2214",NA,NA,NA,"September 8, 2020",NA,NA,NA,NA,NA,NA
"2215","$174,000","$697,003","November 4, 2014","June 9, 2020",NA,"University of South Carolina, Columbia, 1977","U.S. Air Force","1982 - 1988","Christian: Baptist",NA
"2216",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,NA
"2217",NA,NA,NA,NA,NA,NA,"U.S. Air Force, 1965-1969",NA,"Christian",NA
"2218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2219",NA,NA,NA,"June 9, 2020",NA,"Brown University, 1983",NA,NA,"Christian","Author"
"2220",NA,NA,NA,"June 9, 2020",NA,"U.S. Merchant Marine Academy, 1987","U.S. Navy","1987 - 1995","Catholic","Chief engineer"
"2221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2223",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2227","$174,000",NA,"November 4, 2014","June 2, 2020",NA,"South Dakota State University, 1977",NA,NA,"Christian: Catholic",NA
"2228",NA,NA,"November 6, 2018","June 2, 2020",NA,NA,NA,NA,NA,NA
"2229","6,000/session; $129/day for interim committees",NA,NA,"November 3, 2020",NA,"Augustana College, 1997",NA,NA,NA,"Business owner"
"2230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2231",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,"Christian",NA
"2232",NA,NA,NA,NA,NA,"Memphis State University, 1994",NA,NA,NA,"Journalist"
"2233",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"2234",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"2235",NA,NA,NA,NA,NA,NA,NA,NA,"Christian","University lecturer"
"2236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2237",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"2238",NA,NA,NA,"August 6, 2020",NA,"Trevecca Nazarene University, 1972",NA,NA,"Christian","Dentist"
"2239",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"2240",NA,NA,NA,NA,NA,"University of Tennessee",NA,NA,NA,NA
"2241",NA,NA,NA,"August 6, 2020",NA,"University of Mississippi",NA,NA,NA,"Doctor"
"2242",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"2243",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,NA
"2244",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,"Christian: Methodist",NA
"2245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2247",NA,NA,NA,"August 6, 2020",NA,NA,NA,NA,NA,"Truck Driver"
"2248",NA,NA,NA,NA,NA,"Trevecca Nazarene University",NA,NA,NA,"Physician assistant"
"2249",NA,NA,NA,"August 6, 2020",NA,"Brown University",NA,NA,NA,"Doctor"
"2250",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Christian",NA
"2251",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Spiritual, Not Religious",NA
"2252","$174,000","(2012) $698,511","November 4, 2014","November 3, 2020",NA,"Trinity University",NA,NA,NA,"Attorney"
"2253",NA,NA,NA,"July 14, 2020",NA,NA,NA,NA,NA,NA
"2254","$7,200/year",NA,"November 6, 2018","July 14, 2020",NA,"University of Texas, Arlington",NA,NA,NA,"Attorney"
"2255",NA,NA,NA,"May 22, 2020",NA,NA,NA,NA,NA,NA
"2256",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2257",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2258",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2259",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,"Judaism",NA
"2260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2261",NA,NA,NA,"June 23, 2020",NA,NA,NA,NA,"Non-denominational Christian","Paralegal"
"2262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2266",NA,NA,NA,"June 23, 2020",NA,"United States Military Academy West Point, 1997","United States Army","1992 - 2017",NA,"Professor"
"2267",NA,NA,NA,"June 23, 2020",NA,NA,"U.S Army",NA,"Christian","Intelligence officer"
"2268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2269",NA,NA,NA,"November 3, 2020",NA,"Georgia State University",NA,NA,NA,"Conflict resolution facilitator"
"2270",NA,NA,NA,"November 3, 2020",NA,"Liberty University, 2006",NA,NA,NA,"Finance consultant"
"2271","$174,000","$1,504,531","November 4, 2014","June 9, 2020",NA,"Duke University",NA,NA,NA,NA
"2272",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,NA
"2273",NA,NA,NA,"June 9, 2020",NA,"Auburn University, 1994",NA,NA,"Christian/Southern Baptist",NA
"2274",NA,NA,NA,"June 9, 2020",NA,"West Virginia State College","U.S Army",NA,NA,"Military"
"2275",NA,NA,NA,"June 9, 2020",NA,"Marshall University, 1969","U.S. Army","1969-04-02 - 1971-01-06","Methodist","Attorney"
"2276",NA,NA,NA,"June 9, 2020",NA,NA,NA,NA,NA,NA
"2277",NA,NA,NA,"November 3, 2020",NA,NA,NA,NA,NA,NA
"2278",NA,NA,NA,"August 18, 2020",NA,"Tel-Aviv University, 1984",NA,NA,"Jewish","Professor"
"2279",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,NA,NA
"2280",NA,NA,NA,"August 18, 2020",NA,"Eastern Michigan University",NA,NA,NA,"Nonprofit director"
"2281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2282",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,NA,NA
"2283",NA,"$14,410,011",NA,"August 18, 2020",NA,"University of Wyoming",NA,NA,NA,"Rancher, lawyer"
"2284",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,NA,NA
"2285",NA,NA,NA,"August 18, 2020",NA,NA,NA,NA,NA,NA
"2286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
