"","X","id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","created_at","favourites_count","utc_offset","time_zone","geo_enabled","verified","statuses_count","student1","student2","correct1","correct2","suggestion1","suggestion2","X.1","forecastdate","state","district","special","candidate","party","incumbent","model","win.AF8.probability","voteshare","p10.AF8.voteshare","p90.AF8.voteshare","screename","screenname","realname","realname2","dup","dup2"
"502",160,"2402554158","Karen McCormick","McCormickForCO","Colorado, USA","Veterinarian, small business owner, mother of 3, and candidate for Colorado's Fourth Congressional District","https://t.co/lOD0Y6tlkd",FALSE,983,442,34,"Sat Mar 22 03:24:16 +0000 2014",191,NA,NA,TRUE,TRUE,419,"tbrecht","twaedt",TRUE,NA,NA,NA,164,"2018+AC0-08+AC0-01","CO",4,NA,"Karen McCormick","D",FALSE,"classic","0.0369","42.27","36.85","47.67",NA,"McCormickForCO",NA,"McCormickForCO",FALSE,FALSE
"503",736,"9.65325e+17","BoserforCongress","BoserforPA","Pennsylvania, USA","Susan is running for Congress in the #PA15, ready to work hard for rural Pennsylvanians and bring #ProgressForAll. <U+0001F1FA><U+0001F1F8> Email: susanboserforcongress dot com.","https://t.co/v5bqBBxWgk",FALSE,893,130,22,"Sun Feb 18 20:40:24 +0000 2018",365,NA,NA,FALSE,TRUE,260,"aevershe","tbrecht",NA,TRUE,NA,NA,789,"2018+AC0-08+AC0-01","PA",15,NA,"Susan Boser","D",FALSE,"classic","0","29. Jul","23.61","34.59",NA,"BoserforPA",NA,"BoserforPA",FALSE,FALSE
"504",723,"9.03355e+17","Dan Meuser","Meuser4Congress","","Candidate for Congress in PA-9 | Results-Oriented Businessman | Problem Solver | America First | Conservative | Fmr. PA Secretary of Revenue | Husband | Father","https://t.co/HgumqrVulO",FALSE,840,1001,19,"Thu Aug 31 20:31:45 +0000 2017",23,NA,NA,FALSE,TRUE,387,"tbrecht","alklein",TRUE,NA,NA,NA,776,"2018+AC0-08+AC0-01","PA",9,NA,"Dan Meuser","R",FALSE,"classic","0.9907","60.67","55.15","66.15",NA,"Meuser4Congress",NA,"Meuser4Congress",FALSE,FALSE
"505",956,"9.07376e+17","Beau Liegeois","beauforcongress","Green Bay, WI","I am a Northeast WI Democrat running for #WI08. We need to come together to work for solutions our country deserves.","https://t.co/EnbS8PK1VN",FALSE,733,104,33,"Mon Sep 11 22:52:37 +0000 2017",13,NA,NA,TRUE,TRUE,251,"anahum","tbrecht",NA,TRUE,NA,NA,1021,"2018+AC0-08+AC0-01","WI",8,NA,"Beau Liegeois","D",FALSE,"classic","0.0077","39.1","33.74","44.46",NA,"beauforcongress",NA,"beauforcongress",FALSE,FALSE
"506",755,"9.58511e+17","William Timmons","votetimmons","Greenville, SC","Attorney, Entrepreneur, State Senator, and Candidate for US Congress","https://t.co/iPzMHwFCyi",FALSE,589,425,12,"Wed Jan 31 01:21:59 +0000 2018",36,NA,NA,TRUE,TRUE,76,"chrifisc","tbrecht",NA,TRUE,NA,NA,808,"2018+AC0-08+AC0-01","SC",4,NA,"William Timmons","R",FALSE,"classic","0.9996","65.14","59.7","70.62",NA,"votetimmons",NA,"votetimmons",FALSE,FALSE
"507",173,"26759464","Angel Cadena","hiro4you2","","Unelected politician. Driving a truck to pass the time.",NA,TRUE,304,917,13,"Thu Mar 26 14:24:18 +0000 2009",967,NA,NA,TRUE,TRUE,233,"jhahm","tbrecht",NA,TRUE,NA,NA,180,"2018+AC0-08+AC0-01","CT",3,NA,"Angel Cadena","R",FALSE,"classic","1,00E-04","30.43","25.24","35.57",NA,"hiro4you2",NA,"hiro4you2",FALSE,FALSE
"509",865,"9.58099e+17","Phillip Aronoff","Aronoff4USRep","Houston, TX","Father, Husband, Grandfather, Granite Salesman, Outgoing Diplomat for U.S.-Hungary, Pro-Immigration, Pro-Family, Pro-Texas, and Issue Driven Problem Solver.","https://t.co/mkH1y0WYpd",FALSE,270,560,16,"Mon Jan 29 22:07:32 +0000 2018",159,NA,NA,TRUE,TRUE,113,"anahum","tbrecht",NA,TRUE,NA,NA,927,"2018+AC0-08+AC0-01","TX",29,NA,"Phillip Aronoff","R",FALSE,"classic","0","25.67","19.25","32.03",NA,"Aronoff4USRep",NA,"Aronoff4USRep",FALSE,FALSE
"510",944,"9.1858e+17","Steve Toft","toftforcongress","Wisconsin, USA","Husband, father, and 32 year veteran of the United States Army. Candidate for Congress in Wisconsin's 3rd District #WI03","https://t.co/x9nUiemCfc",FALSE,219,126,10,"Thu Oct 12 20:51:32 +0000 2017",60,NA,NA,FALSE,TRUE,428,"aevershe","tbrecht",NA,TRUE,NA,NA,1009,"2018+AC0-08+AC0-01","WI",3,NA,"Steve Toft","R",FALSE,"classic","0.0053","38.44","33.07","43.77",NA,"toftforcongress",NA,"toftforcongress",FALSE,FALSE
"511",615,"9.70008e+17","Jineea Butler","Jineea4Congress","New York, NY","U.S. Congressional Candidate for NY District 13 serving Harlem, Washington Heights and Western Bronx.","https://t.co/EwmsFWDfDV",FALSE,203,112,4,"Sat Mar 03 18:46:34 +0000 2018",6,NA,NA,FALSE,TRUE,63,"aevershe","tbrecht",NA,TRUE,NA,NA,663,"2018+AC0-08+AC0-01","NY",13,NA,"Jineea Butler","R",FALSE,"classic","0","Jul-92","Apr-24","Nov-63",NA,"Jineea4Congress",NA,"Jineea4Congress",FALSE,FALSE
"512",509,"9.6134e+17","Jeff Matemu For NC Second Congressional  2018","JeffNc2","Holly Springs, NC","Candidate for U.S Representative, N.C’s 2nd Congressional District. My platform is to defend the rights of each one-to demolish walls and build bridges instead.","https://t.co/XlHNtI2pvm",FALSE,187,155,5,"Wed Feb 07 20:44:07 +0000 2018",382,NA,NA,FALSE,TRUE,354,"tholmber","tbrecht",NA,TRUE,NA,NA,540,"2018+AC0-08+AC0-01","NC",2,NA,"Jeff Matemu","LIB",FALSE,"classic","0","Feb-68","0.7","Mai 23",NA,"JeffNc2",NA,"JeffNc2",FALSE,FALSE
"513",197,"7.62322e+17","Wayne For US Congress","LiebnitzkyWayne","St Cloud, FL","Wayne believes every constituent has a voice and should be heard.""","https://t.co/4p9SgjUtKH",FALSE,183,71,5,"Sun Aug 07 16:17:48 +0000 2016",109,NA,NA,FALSE,TRUE,212,"miraschk","tbrecht",NA,NA,NA,NA,205,"2018+AC0-08+AC0-01","FL",9,NA,"Wayne Liebnitzky","R",FALSE,"classic","0.0014","35.91","30.63","41.18",NA,"LiebnitzkyWayne",NA,"LiebnitzkyWayne",FALSE,FALSE
"514",880,"9.43296e+17","David Smalling for Congress","SmallingforCD35","Texas, USA","Republican Candidate / 35th Congressional District","https://t.co/N6ZXxxsDh0",FALSE,79,8,12,"Wed Dec 20 01:44:59 +0000 2017",7,NA,NA,FALSE,TRUE,112,"tbrecht","twaedt",TRUE,NA,NA,NA,942,"2018+AC0-08+AC0-01","TX",35,NA,"David Smalling","R",FALSE,"classic","1,00E-04","29. Apr","23.26","34.84",NA,"SmallingforCD35",NA,"SmallingforCD35",FALSE,FALSE
"515",829,"9.91736e+17","Tim Westley","twestley777","","Hello, I am Dr. Tim Westley, a husband, father, Pastor, Professor, Veteran, Author, and Community Servant.  Thank you for following my page, God Bless!",NA,FALSE,62,42,2,"Wed May 02 17:47:12 +0000 2018",7,NA,NA,FALSE,TRUE,26,"anahum","tbrecht",NA,TRUE,NA,NA,888,"2018+AC0-08+AC0-01","TX",15,NA,"Tim Westley","R",FALSE,"classic","9,00E-04","32.5","26.68","38.32",NA,"twestley777",NA,"twestley777",FALSE,FALSE
